Class,Alcohol,Malic acid,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline
3,1.665292751552409,-0.6084058708306584,1.2189619406086034,1.6054001692619027,98,0.8040015729247536,-0.6916784037712645,1.2672255168374742,1.877539798119426,3.4194730479873927,-1.6563285651202309,-0.8794090367008003,660
3,-0.549525064768421,2.7515414982794346,1.0033150192218652,1.6054001692619027,96,-0.7853837556606104,-1.4012329079248962,2.04959953158061,-0.8735052304677888,-0.024801200131702693,-0.5846327232187217,-1.254620949310512,515
2,-0.745310065106174,-1.1435410914983233,-0.9375072732587756,-0.2827042601834796,88,1.9370287378568947,1.7467905964186805,-1.0016591259176204,0.5879874409691687,-0.24006834063914614,0.35845961765460665,0.24622670112833472,660
3,0.6129483747369879,-0.6171785793661939,1.0033150192218652,0.8792061579367556,89,0.4892718048880482,-0.9015466373941696,1.1889881153631607,1.172584509543952,2.881305196718784,-1.6563285651202309,-1.1295503117739414,620
1,0.11124931137149602,-0.7663146244702972,-0.9375072732587756,-1.154137073773656,98,0.17454203685134215,0.6374870758404678,-0.6887095200203657,-0.40926638189369635,-0.5844957654510556,0.9586092891194513,0.13505280109582748,1020
2,-0.9288585029228157,-0.9505415037165426,-1.512565730290077,-0.1374654579184502,92,0.11159608324400093,0.03786355120359604,0.1719018961970838,0.81150984954188,-1.0150300464659425,-0.41316138851448014,0.5936451387299196,312
2,-0.37821318947288657,-1.2224954683181428,-0.4343311233563868,-0.427943062448509,99,-0.14018773118536323,-0.062073702902549335,-0.5322347170717389,-0.2545200990356658,-1.0494727889471336,1.1729484574997533,0.7881994637868073,450
2,0.44163649944145345,-1.2575863024602847,-0.0030372805829122756,-0.7184206669785678,110,0.37911638607520076,-0.701672129181879,1.4237003197861016,-2.0426993676173555,-0.8126789343889458,0.2727239503024858,-0.9210992492129905,750
3,0.7842602500325202,2.2602698202894476,-0.03897843414736782,0.1530121466116086,92,-0.4549174992220693,-1.2013583997126056,0.7978011079915923,-1.0110574818971496,-0.2831217687406347,-0.19882222013417813,-0.75433839916423,550
1,0.22137837406148184,-0.011861690414245077,1.1111384799152335,-0.2536564997304733,101,0.8040015729247536,1.2371106004773398,-0.5322347170717389,2.066674143834797,0.2679621109584203,0.3155917839785462,0.8020962012908704,1185
2,-1.10017037821835,-0.25749752940923865,-2.3751534158370284,-0.5731818647135384,97,-0.09297826597985766,0.1677819815415848,-0.845184322968993,-0.35768428760768645,-0.7567094778570106,1.3444197922039949,0.5102647137055392,710
2,-0.6841272525006254,1.8040889764416015,1.3267854013019715,2.0411165760569907,102,-0.14018773118536323,0.12780707989912665,0.484851502094338,0.17533068668108648,-1.2819613006951724,-0.15595438645811774,0.7326125137705537,365
3,-0.4883422521628724,-0.9505415037165426,-0.9375072732587756,0.1530121466116086,103,-1.2732148961175045,-1.4212203587461252,1.2672255168374742,-0.35768428760768645,1.0945879305070032,-1.6134607314441705,-1.4491752743673993,640
